layer,lima_802,lima_849,lima_815
model.layers.9.mlp.down_proj.weight,0.01593221906182972,-0.028669824271475908,0.05457622685778587
model.layers.10.self_attn.q_proj.weight,-0.09710067636547942,-0.042597111580890724,0.08207495265340863
model.layers.10.self_attn.k_proj.weight,-0.18305957265582862,-0.08194965310814507,0.1045734938708293
model.layers.10.self_attn.v_proj.weight,-0.02456072832953482,-0.0598244769499302,0.08772511243645252
model.layers.10.self_attn.o_proj.weight,0.007782530328233446,-0.03397622930542781,0.09803888992405058
model.layers.10.mlp.gate_proj.weight,0.019615102280318302,-0.03128463545312979,0.06183019817509053
model.layers.10.mlp.up_proj.weight,0.021330757072384993,-0.02373813824322986,0.058864087790620856
model.layers.10.mlp.down_proj.weight,0.013295707840044779,-0.0326921305197928,0.0805735119522427
model.layers.11.self_attn.q_proj.weight,0.002321928730568685,-0.09339286648788574,0.10335833990182156
model.layers.11.self_attn.k_proj.weight,-0.04519454670262148,-0.12285886052907213,0.0979733351926701
model.layers.11.self_attn.v_proj.weight,0.0038870539025723256,-0.09276689467750303,0.08672286402119565
model.layers.11.self_attn.o_proj.weight,0.019401321449707958,-0.04049237880851424,0.12463231078937256
model.layers.11.mlp.gate_proj.weight,0.0284262812154584,-0.02459144654970772,0.08597371873569049
model.layers.11.mlp.up_proj.weight,0.036105592142306187,-0.01896814885255993,0.08643703585585437
model.layers.11.mlp.down_proj.weight,0.015569212258353164,-0.056252243426485556,0.06527887270595625
model.layers.12.self_attn.q_proj.weight,0.027050658765517308,-0.04098330004709254,0.004181363992452148
model.layers.12.self_attn.k_proj.weight,0.07030170779189178,-0.055772712846730674,0.004898384184100166
model.layers.12.self_attn.v_proj.weight,-0.0167492691308198,-0.11664554169249129,0.044456954803651506
model.layers.12.self_attn.o_proj.weight,0.018251876764220958,-0.061418945449946756,0.006591824932103439
model.layers.12.mlp.gate_proj.weight,0.018085435720830614,-0.04753969171454464,0.05932188900205341
model.layers.12.mlp.up_proj.weight,0.01642277838669093,-0.06550898570031945,0.09367860943923392
model.layers.12.mlp.down_proj.weight,0.00455993617143025,-0.07222775063346855,0.020850737146439008
model.layers.13.self_attn.q_proj.weight,-0.0259000456863446,-0.05755318706680462,0.029772069523499485
model.layers.13.self_attn.k_proj.weight,-0.013244864387937297,-0.012645642185455205,0.04171814953657569
model.layers.13.self_attn.v_proj.weight,0.016844955292217755,-0.14658646263411954,0.03876008955925215
model.layers.13.self_attn.o_proj.weight,0.009232342334499499,-0.05570654078223498,-0.0026829109102728655
model.layers.13.mlp.gate_proj.weight,-0.0020052186036229936,-0.04116996956291817,0.028775467723039433
model.layers.13.mlp.up_proj.weight,-0.00829017948340915,-0.2161196349050801,0.021027163007234968
model.layers.13.mlp.down_proj.weight,0.020360973313295196,-0.06676436440934189,0.019704582115462735
model.layers.14.self_attn.q_proj.weight,0.037996701826954936,0.024621721470942597,0.1449357669900233
model.layers.14.self_attn.k_proj.weight,0.41981482109374274,0.21927782858069014,0.021459388374342785
model.layers.14.self_attn.v_proj.weight,0.014587704117307513,-0.10792184096773691,0.04605678796542751
model.layers.14.self_attn.o_proj.weight,0.011374739527995824,-0.0649317723879362,0.02305665964863457
model.layers.14.mlp.gate_proj.weight,-0.00758967558947725,-0.06343451240321818,0.022389203972741644
model.layers.14.mlp.up_proj.weight,-0.008570239525272383,-0.17483392767370892,-0.030144554843440002
model.layers.14.mlp.down_proj.weight,-0.003193875776532441,-0.08350211167941206,0.07084561127558678
model.layers.15.self_attn.q_proj.weight,0.08829932974547502,-0.056735331262221564,0.1661197375666005
model.layers.15.self_attn.k_proj.weight,0.10131594576115331,-0.012814114174673819,0.1071658491258905
model.layers.15.self_attn.v_proj.weight,-0.0033734986392426895,-0.14593152936071585,0.05191849539264072
model.layers.15.self_attn.o_proj.weight,-0.0023298502031057354,-0.08288776953184929,0.03657120081603821
model.layers.15.mlp.gate_proj.weight,0.04120087657673858,-0.05202878757783319,-0.11011316296873976
model.layers.15.mlp.up_proj.weight,-0.0020458331787753226,-0.05221431821528614,0.03545293421486204
model.layers.15.mlp.down_proj.weight,0.004356447735480545,-0.12431270412015112,-0.055012028218905176
